record_id,title,year,source,Final_decision,Final_reason_code,Final_notes,FullText_needed
R00103,Rehabilitative exercise in a rat model of doxorubicin cardiotoxicity,2012.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00107,Effects of Antioxidant Supplementation during Breast Cancer Adjuvant Therapy,2010.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00108,Effects of Antioxidant Supplementation during Breast Cancer Adjuvant Therapy,2009.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00109,Effects of Antioxidant Supplementation during Breast Cancer Adjuvant Therapy,2012.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00110,"The success story of trastuzumab emtansine, a targeted therapy in HER2-positive breast cancer",2014.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00111,Endurance exercise training preserves cardiac function in rats receiving doxorubicin and the HER-2 inhibitor GW2974,2009.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00112,Effects of Antioxidant Supplementation during Breast Cancer Adjuvant Therapy,2011.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00113,Real-time exercise reduces impaired cardiac function in breast cancer patients undergoing chemotherapy: A randomized controlled trial,2022.0,Web of Science,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
R00114,Evaluating Trastuzumab in the treatment of HER2 positive breast cancer,2020.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00117,Modulation of Anthracycline-Induced Cardiotoxicity by Aerobic Exercise in Breast Cancer Current Evidence and Underlying Mechanisms,2011.0,Web of Science,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
R00119,Effects of Antioxidant Supplementation during Breast Cancer Adjuvant Therapy,2013.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00120,Exercise Training and Cardiovascular Health in Cancer Patients,2018.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00121,Dual HER2 Targeting with Trastuzumab and Liposomal-Encapsulated Doxorubicin (MM-302) Demonstrates Synergistic Antitumor Activity in Breast and Gastric Cancer,2016.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00122,Safety and Efficacy Profile of Neratinib: A Systematic Review and Meta-Analysis of 23 Prospective Clinical Trials,2019.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00123,Platinum-based systematic therapy in triple-negative breast cancer,2022.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00124,"Effects of High and Low-To-Moderate Intensity Exercise During (Neo-) Adjuvant Chemotherapy on Muscle Cells, Cardiorespiratory Fitness, and Muscle Function in Women With Breast Cancer: Protocol for a Randomized Controlled Trial",2022.0,Web of Science,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
R00125,Targeted agents for HER2-positive breast cancer in older adults: current and future perspectives,2018.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00126,A Light Gradient Boosting Machine-Enabled Early Prediction of Cardiotoxicity for Breast Cancer Patients,2021.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00127,Single-agent treatment with pegylated liposomal doxorubicin for metastatic breast cancer,2008.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00128,Aerobic Exercise-Induced Changes in Cardiorespiratory Fitness in Breast Cancer Patients Receiving Chemotherapy: A Systematic Review and Meta-Analysis,2020.0,Web of Science,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
R00129,Phase II study of weekly paclitaxel and trastuzumab in anthracycline- and taxane-pretreated patients with HER2-overexpressing metastatic breast cancer,2004.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00130,The clinical benefit of pegylated liposomal doxorubicin in patients with metastatic breast cancer previously treated with conventional anthracyclines: a multicentre phase II trial,2006.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00131,Effect of adjuvant trastuzumab treatment in conventional clinical setting: an observational retrospective multicenter Italian study,2013.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00132,Efficacy and safety of dasatinib with trastuzumab and paclitaxel in first line HER2-positive metastatic breast cancer: results from the phase II GEICAM/2010-04 study,2019.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00133,Adjuvant Trastuzumab Induces Ventricular Remodeling Despite Aerobic Exercise Training,2009.0,Web of Science,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
R00135,Clinical recommendations for the use of lapatinib ditosylate plus capecitabine for patients with advanced or metastatic HER2-positive breast cancer,2009.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00136,Development Project 2,2014.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00138,Development Project 2,2013.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00139,"Phase I safety, pharmacokinetics, and clinical activity study of lapatinib (GW572016), a reversible dual inhibitor of epidermal growth factor receptor tyrosine kinases, in heavily pretreated patients with metastatic carcinomas",2005.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00141,The combined effect of creatine and resistance training on doxorubicin-induced muscle dysfunction,2020.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00142,Toxicity of dual HER2-blockade with pertuzumab added to anthracycline versus non-anthracycline containing chemotherapy as neoadjuvant treatment in HER2-positive breast cancer: The TRAIN-2 study,2016.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00143,A phase I/II trial of the safety and clinical activity of a HER2-protein based immunotherapeutic for treating women with HER2-positive metastatic breast cancer,2016.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00144,Trastuzumab Combined with Pegylated Liposomal Doxorubicin in Patients with Metastatic Breast Cancer,2009.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
